City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
344,Cabra,90,ES,1582083627,93,37.47,-4.44,55.0,1.12
345,Teseney,0,ER,1582083628,68,15.11,36.66,67.48,5.7
346,Adre,94,TD,1582083628,27,13.47,22.2,65.43,12.26
347,Hun,0,LY,1582083628,70,29.13,15.95,50.72,2.93
348,Sisimiut,100,GL,1582083628,98,66.94,-53.67,-0.09,3.38
349,Poum,0,NC,1582083629,79,-20.23,164.02,80.58,20.58
350,Pachino,0,IT,1582083629,93,36.72,15.09,48.0,3.36
351,Nelson Bay,3,AU,1582083629,33,-32.72,152.15,90.0,18.34
352,Bassila,0,BJ,1582083630,19,9.01,1.67,72.41,5.14
353,Mahanoro,100,MG,1582083630,84,-19.9,48.8,78.4,4.12
354,Matara,2,LK,1582083630,67,5.95,80.54,77.95,4.59
355,Meleuz,100,RU,1582083631,89,52.97,55.92,28.87,15.48
356,Katherine,50,AU,1582083631,52,-14.47,132.27,91.4,8.05
357,Lishu,0,CN,1582083631,54,43.3,124.33,25.77,4.76
358,Neuquen,0,AR,1582083631,48,-38.95,-68.06,66.2,5.82
359,Sambava,14,MG,1582083632,97,-14.27,50.17,71.96,2.71
360,Ugoofaaru,3,MV,1582083632,75,5.67,73.0,81.43,14.79
361,Myaundzha,100,RU,1582083632,83,63.05,147.19,-3.77,3.33
362,Makakilo City,75,US,1582083632,69,21.35,-158.09,80.6,10.29
363,Bo Rai,36,TH,1582083633,51,12.57,102.54,91.0,13.87
364,Monsenhor Gil,20,BR,1582083633,94,-5.56,-42.61,77.0,2.24
365,Hambantota,5,LK,1582083633,94,6.12,81.12,71.6,4.7
366,Kulhudhuffushi,2,MV,1582083633,71,6.62,73.07,81.79,12.66
367,Stettler,0,CA,1582083634,83,52.32,-112.72,-0.99,4.0
368,Nosy Varika,99,MG,1582083634,91,-20.58,48.53,76.03,3.29
369,Saint George,1,US,1582083350,33,37.1,-113.58,46.99,4.7
